Message,Period,Time,Slot,Subject,Group,CTR,Revenue,Bid,VFC,Cost,Payoff
sync_net,1,18:19:13,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:13,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:13,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:13,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:13,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:14,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:14,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:14,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:14,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:14,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:14,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:14,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:14,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:15,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:15,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:15,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:15,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:15,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:15,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:15,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:15,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:16,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:16,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:16,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:16,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:17,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:17,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:17,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:17,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:17,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:17,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:17,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:17,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:18,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:18,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:18,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:18,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:18,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:18,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:18,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:18,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:19,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:19,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:19,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:19,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:20,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:20,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:20,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:20,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:20,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:20,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:20,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:20,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:21,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:21,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:21,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:21,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:21,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:21,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:21,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:21,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:22,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:22,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:22,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:22,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:22,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:22,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:22,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:22,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:23,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:23,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:23,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:23,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:23,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:23,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:23,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:23,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:24,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:24,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:24,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:24,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:25,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:25,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:25,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:25,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:25,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:25,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:25,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:25,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:26,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:26,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:26,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:26,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:27,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:27,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:27,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:27,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:27,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:27,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:27,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:27,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:28,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:28,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:28,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:28,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:28,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:28,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:28,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:28,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:29,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:29,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:29,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:29,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:29,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:29,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:29,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:29,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:30,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:30,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:30,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:30,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:30,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:30,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:30,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:30,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:31,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:31,1,1,2,380,3800,28.77,10,8493,-4693
sync_net,1,18:19:31,2,3,2,190,5700,22.35,30,4081.2,1618.8000000000002
sync_net,1,18:19:31,3,2,2,0,0,21.48,20,0,0
""
sync_net,1,18:19:32,0,6,1,400,8000,20.74,20,6764,1236
sync_net,1,18:19:32,1,7,1,380,11400,16.91,30,5114.8,6285.2
sync_net,1,18:19:32,2,8,1,190,7600,13.46,40,1548.5,6051.5
sync_net,1,18:19:32,3,5,1,0,0,8.15,10,0,0
""
sync_net,1,18:19:33,0,4,2,400,16000,37.05,40,11508,4492
sync_net,1,18:19:33,1,1,2,380,3800,28.77,10,8493,-4693
